doc_id1,doc_id2
149,531,0.4869109947643979
529,993,0.4880952380952381
209,233,0.4
698,817,0.7232704402515723
454,560,0.583756345177665
311,903,0.7243243243243244
735,862,0.8461538461538461
59,453,0.5561797752808989
484,780,0.5304347826086957
272,337,0.5675675675675675
107,714,0.5546218487394958
540,867,0.5302013422818792
281,828,0.46747967479674796
125,945,0.4700854700854701
323,765,0.7295597484276729
558,877,0.6125
198,933,0.906832298136646
33,496,0.8045977011494253
251,767,0.71
168,566,0.53125
99,727,0.6781609195402298
371,841,0.8333333333333334
108,352,0.5427350427350427
325,440,0.8778625954198473
679,923,0.5330396475770925
46,623,0.8285714285714286
328,330,0.6394230769230769
396,616,0.28421052631578947
511,743,0.7112299465240641
355,996,0.7469879518072289
70,754,0.644808743169399
74,787,0.535483870967742
188,512,0.6410256410256411
232,483,0.5893719806763285
495,901,0.6928571428571428
613,697,0.6063829787234043
135,768,0.7529411764705882
554,989,0.5919540229885057
612,956,0.6384976525821596
819,865,0.7258883248730964
23,688,0.5772727272727273
43,306,0.3778801843317972
664,710,0.5519125683060109
82,161,0.5251141552511416
402,729,0.7551020408163265
369,757,0.43775100401606426
170,367,0.50920245398773
124,894,0.6074766355140186
252,420,0.8580246913580247
418,758,0.47808764940239046
22,954,0.8324022346368715
133,210,0.632258064516129
13,717,0.4870689655172414
296,909,0.4957627118644068
136,456,0.47413793103448276
171,659,0.6767676767676768
404,797,0.383399209486166
104,764,0.5238095238095238
632,706,0.6772486772486772
42,394,0.5972850678733032
471,549,0.30120481927710846
319,604,0.7528089887640449
524,983,0.45569620253164556
43,893,0.38967136150234744
674,871,0.5793650793650794
220,494,0.6396396396396397
89,779,0.5246636771300448
465,880,0.5876288659793815
209,400,0.2894736842105263
233,400,0.25
320,914,0.6724137931034483
285,949,0.9259259259259259
553,653,0.46285714285714286
770,876,0.7215189873417721
508,595,0.9398496240601504
300,980,0.6493506493506493
66,163,0.5120481927710844
126,705,0.6666666666666666
84,458,0.9371069182389937
9,665,0.5945945945945946
80,875,0.7901234567901234
397,614,0.6910112359550562
1,576,0.5352112676056338
317,460,0.8
255,362,0.8869047619047619
73,964,0.46638655462184875
8,16,0.5546558704453441
4,970,0.6553398058252428
57,916,0.6
405,551,0.494949494949495
239,519,0.7037037037037037
306,893,0.8235294117647058
244,455,0.7028985507246377
200,977,0.6682464454976303
523,991,0.6820512820512821
391,961,0.7046632124352331
254,943,0.7712765957446809
478,600,0.8275862068965517
27,897,1.0
347,425,0.6923076923076923
291,704,0.8484848484848485
345,783,0.5533333333333333
479,878,0.684931506849315
314,887,0.3694029850746269
289,409,0.2892561983471074
343,900,0.7119565217391305
64,313,0.5874439461883408
656,890,0.43983402489626555
179,658,0.7936507936507936
542,816,0.4908256880733945
12,830,0.6459627329192547
51,214,0.6084905660377359
748,791,0.7119565217391305
109,206,0.6044444444444445
85,677,0.6883116883116883
100,501,0.6326530612244898
35,715,0.5294117647058824
